STT	Ngày entry	Loại lệnh	Entry	Exit	PNL points	Win/Loss	Ghi chú HybridV3	Forecast	AlgoCheck	EntryAlgoV2Check	So sánh OHLC	Độ khớp	R5Action
1	17/06/2026	LONG	1960.0	1959.9	0.67	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=1959.0	1964.865	Đạt Short (3/4)	Không đạt	EXIT_CLOSE_WIN	7	KEEP
2	18/06/2026	SHORT	1966.8	1971.4	0.0	R5_CANCEL	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_RISK; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=1967.8; R5Overlay=CANCEL; Units=0	1962.741	Đạt Short	Đạt Short	R5_CANCELLED_AT_OPEN	0	CANCEL
3	19/06/2026	SHORT	1975.8	1964.0	0.0	R5_CANCEL	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=CARRY_CAP01; Size=0.1; Adds=0; AvgEntry=1975.8; R5Overlay=CANCEL; Units=0	1962.741	Đạt Short	Đạt Short	R5_CANCELLED_AT_OPEN	0	CANCEL
4	22/06/2026	SHORT	1966.9	1984.8	-2.08	Loss	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=FAILED_TRADE; Rule=TRUE_FORECAST_FAIL_BASE01; Size=0.1; Adds=0; AvgEntry=1966.9	1970.459	Đạt Short (3/4)	Đạt Short (3/4)	FAILED_TRADE	1	KEEP
5	23/06/2026	SHORT	1984.7	1991.4	-1.7	Loss	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_RISK; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=1985.7	1964.292	Đạt Short (3/4)	Không đạt	EXIT_CLOSE_RISK	4	KEEP
6	24/06/2026	LONG	1995.1	2009.0	1.02	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.1; Adds=0; AvgEntry=1995.1	1999.75	Đạt Long	Đạt Long (3/4)	EXIT_CLOSE_WIN	7	KEEP
7	25/06/2026	SHORT	2008.8	2006.4	1.0	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=2009.8	2003.814	Đạt Long	Đạt Long (3/4)	EXIT_CLOSE_WIN	7	KEEP
8	26/06/2026	LONG	2003.8	2012.0	1.08	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FAIL_BASE01; Size=0.1; Adds=0; AvgEntry=2003.8	1997.274	Đạt Long	Đạt Long	EXIT_CLOSE_WIN	7	KEEP
9	29/06/2026	SHORT	2016.0	2010.0	0.0	R5_CANCEL	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=2017.0; R5Overlay=CANCEL; Units=0	2006.402	Đạt Long	Đạt Long (3/4)	R5_CANCELLED_AT_OPEN	0	CANCEL
10	30/06/2026	LONG	2009.8	1997.6	-1.2	Loss	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_RISK; Rule=CARRY_KILL_BY_FORECAST; Size=0.1; Adds=0; AvgEntry=2009.8	2006.402	Đạt Long	Đạt Long (3/4)	EXIT_CLOSE_RISK	4	KEEP
11	01/07/2026	LONG	1997.9	2014.0	1.64	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.1; Adds=0; AvgEntry=1997.9	2006.535	Đạt Long	Đạt Long (3/4)	EXIT_CLOSE_WIN	7	KEEP
12	02/07/2026	LONG	2016.3	2009.8	-0.42	Loss	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_RISK; Rule=TRUE_FORECAST_FAIL_BASE01; Size=0.1; Adds=0; AvgEntry=2016.3	2008.92	Đạt Long	Đạt Long	EXIT_CLOSE_RISK	4	KEEP
13	03/07/2026	LONG	2013.6	2009.0	-0.7	Loss	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_RISK; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=2012.6	2014.573	Đạt Long (3/4)	Đạt Long (3/4)	EXIT_CLOSE_RISK	4	KEEP
14	06/07/2026	SHORT	2012.7	1995.0	0.0	R5_CANCEL	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=2013.7; R5Overlay=CANCEL; Units=0	2008.295	Đạt Short (3/4)	Đạt Short (3/4)	R5_CANCELLED_AT_OPEN	0	CANCEL
15	07/07/2026	LONG	1994.8	1999.0	1.58	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=1993.8	2002.494	Đạt Short (3/4)	Đạt Short (3/4)	EXIT_CLOSE_WIN	7	KEEP
16	08/07/2026	SHORT	1995.5	1999.5	-1.25	Loss	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_RISK; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=1996.5	1986.874	Đạt Short	Đạt Short	EXIT_CLOSE_RISK	4	KEEP
17	09/07/2026	SHORT	1996.0	1994.3	1.16	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=1997.0	1995.072	Đạt Short	Đạt Short (3/4)	EXIT_CLOSE_WIN	7	KEEP
18	10/07/2026	SHORT	1995.6	1976.5	1.78	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.1; Adds=0; AvgEntry=1995.6	1989.597	Đạt Short (3/4)	Đạt Short (3/4)	EXIT_CLOSE_WIN	7	KEEP
19	13/07/2026	SHORT	1967.0	1941.5	3.5	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FAIL_BASE01; Size=0.1; Adds=0; AvgEntry=1967.0	1989.528	Đạt Short	Đạt Short	EXIT_CLOSE_WIN	7	KEEP
20	14/07/2026	SHORT	1939.0	1943.5	-0.2	Loss	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_RISK; Rule=TRUE_FORECAST_FAIL_BASE01; Size=0.1; Adds=0; AvgEntry=1939.0	1943.719	Đạt Short	Đạt Short (3/4)	EXIT_CLOSE_RISK	4	KEEP
21	15/07/2026	LONG	1943.5	1919.1	-2.44	Loss	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=FAILED_TRADE; Rule=TRUE_FORECAST_FAIL_BASE01; Size=0.1; Adds=0; AvgEntry=1943.5	1934.791	Đạt Long	Đạt Long	FAILED_TRADE	1	KEEP
22	16/07/2026	LONG	1915.0	1936.3	6.28	Win	Engine=engine5; Phase=POST_OHLCV; Profile=AllDaysLadder_CAP0.3; PostOutcome=EXIT_CLOSE_WIN; Rule=TRUE_FORECAST_FILTER; Size=0.3; Adds=2; AvgEntry=1914.0	1927.884	Đạt Long (3/4)	Không đạt	EXIT_CLOSE_WIN	7	KEEP
